school_name,qs_wur_2026_rank,qs_wur_2026_numeric,qs_rank_in_dataset,qs_other_qs_note,qs_source_url,program_name,year,employment_6m,employment_2yr,admission_overall_average,admit_share_80_plus,admit_share_85_plus,international_share,male_female_ratio,domestic_total_cost,international_total_cost,faculty_total_fte_est,total_funding,has_employment_target,has_any_admission_feature,has_any_school_level_feature
Brock University,1201-1400,1300.5,12,,https://www.topuniversities.com/universities/brock-university,Computer Science,2020,50,92.86,83.5,70.5,43.400000000000006,0.096124745,7.640625,20617.51,42413.71,589,7855346.85,TRUE,TRUE,TRUE
Brock University,1201-1400,1300.5,12,,https://www.topuniversities.com/universities/brock-university,Computer Science,2021,83.33,100,84.5,78,51.4,0.091523179,14.06183368869936,21684.18,44874.63,589,13492011.94,TRUE,TRUE,TRUE
Brock University,1201-1400,1300.5,12,,https://www.topuniversities.com/universities/brock-university,Education,2014,90.68,97.92,86.2,0,0,0.056766483,0.2724249482401656,20617.51,41152.23,589,4777028,TRUE,FALSE,TRUE
Brock University,1201-1400,1300.5,12,,https://www.topuniversities.com/universities/brock-university,Education,2015,94.12,95.95,86.2,0,0,0.06046191,0.2830130298758896,20617.51,41152.23,589,5279593.67,TRUE,FALSE,TRUE
Brock University,1201-1400,1300.5,12,,https://www.topuniversities.com/universities/brock-university,Education,2016,91.49,97.78,86.2,0,0,0.060055961,0.3000802139037433,18915.19,34631.44,589,5466770.38,TRUE,FALSE,TRUE
Brock University,1201-1400,1300.5,12,,https://www.topuniversities.com/universities/brock-university,Education,2017,96.88,99.22,85.9,92.4,59.2,0.064087641,0.3282943284840818,19460,39349,589,6779653.62,TRUE,TRUE,TRUE
Brock University,1201-1400,1300.5,12,,https://www.topuniversities.com/universities/brock-university,Education,2018,94.87,98.46,86.2,90.1,62.2,0.073537378,0.3141794217687075,20617.51,41152.23,589,6170474,TRUE,TRUE,TRUE
Brock University,1201-1400,1300.5,12,,https://www.topuniversities.com/universities/brock-university,Education,2019,100,98.9,85.3,84.3,57.3,0.087959343,0.3345038185632004,20683.93,41152.23,589,7190892,TRUE,TRUE,TRUE
Brock University,1201-1400,1300.5,12,,https://www.topuniversities.com/universities/brock-university,Education,2020,96.3,99.25,87.3,91,70.6,0.096124745,0.405467721,20617.51,42413.71,589,7855346.85,TRUE,TRUE,TRUE
Brock University,1201-1400,1300.5,12,,https://www.topuniversities.com/universities/brock-university,Education,2021,97.66,98.47,89.2,95.8,80.3,0.091523179,0.4002801120448179,21684.18,44874.63,589,13492011.94,TRUE,TRUE,TRUE
Brock University,1201-1400,1300.5,12,,https://www.topuniversities.com/universities/brock-university,Fine & Applied Arts,2014,79.17,93.1,83.15,66.3,34.900000000000006,0.056766483,0.6852346999405823,20617.51,41152.23,589,4777028,TRUE,TRUE,TRUE
Brock University,1201-1400,1300.5,12,,https://www.topuniversities.com/universities/brock-university,Fine & Applied Arts,2015,88.89,90.48,84.95,66.69999999999999,50,0.06046191,0.7774193548387096,20617.51,41152.23,589,5279593.67,TRUE,TRUE,TRUE
Brock University,1201-1400,1300.5,12,,https://www.topuniversities.com/universities/brock-university,Fine & Applied Arts,2016,88,100,85.6,64.9,40.8,0.060055961,0.5927338129496402,18915.19,34631.44,589,5466770.38,TRUE,TRUE,TRUE
Brock University,1201-1400,1300.5,12,,https://www.topuniversities.com/universities/brock-university,Fine & Applied Arts,2017,73.08,88.46,85,100.35,76.35,0.064087641,0.5893087161872048,19460,39349,589,6779653.62,TRUE,TRUE,TRUE
Brock University,1201-1400,1300.5,12,,https://www.topuniversities.com/universities/brock-university,Fine & Applied Arts,2018,81.82,92,86.3,95.1,73.55,0.073537378,0.7415094339622641,20617.51,41152.23,589,6170474,TRUE,TRUE,TRUE
Brock University,1201-1400,1300.5,12,,https://www.topuniversities.com/universities/brock-university,Fine & Applied Arts,2019,92,87.5,86.94999999999999,98.85,75.55,0.087959343,0.8508620689655173,20683.93,41152.23,589,7190892,TRUE,TRUE,TRUE
Brock University,1201-1400,1300.5,12,,https://www.topuniversities.com/universities/brock-university,Fine & Applied Arts,2020,70.59,94.12,88.15,115.65,91.7,0.096124745,0.7651129943502825,20617.51,42413.71,589,7855346.85,TRUE,TRUE,TRUE
Brock University,1201-1400,1300.5,12,,https://www.topuniversities.com/universities/brock-university,Fine & Applied Arts,2021,84.85,93.75,87.5,108.35,78.35,0.091523179,0.604635762,21684.18,44874.63,589,13492011.94,TRUE,TRUE,TRUE
Brock University,1201-1400,1300.5,12,,https://www.topuniversities.com/universities/brock-university,Humanities,2014,89.58,95.5,80.3,52.99999999999999,29.6,0.056766483,0.8477056103627288,20617.51,41152.23,589,4777028,TRUE,TRUE,TRUE
Brock University,1201-1400,1300.5,12,,https://www.topuniversities.com/universities/brock-university,Humanities,2015,95.83,100,80.6,56,31.7,0.06046191,0.7876267439201038,20617.51,41152.23,589,5279593.67,TRUE,TRUE,TRUE
Brock University,1201-1400,1300.5,12,,https://www.topuniversities.com/universities/brock-university,Humanities,2016,87.06,92.93,81,59.3,32.7,0.060055961,0.8325981547578961,18915.19,34631.44,589,5466770.38,TRUE,TRUE,TRUE
Brock University,1201-1400,1300.5,12,,https://www.topuniversities.com/universities/brock-university,Humanities,2017,92.86,90.18,81.55000000000001,62.45,35.9,0.064087641,0.7487180260617761,19460,39349,589,6779653.62,TRUE,TRUE,TRUE
Brock University,1201-1400,1300.5,12,,https://www.topuniversities.com/universities/brock-university,Humanities,2018,91.57,89.25,81.6,56.150000000000006,40.2,0.073537378,0.7685092416652273,20617.51,41152.23,589,6170474,TRUE,TRUE,TRUE
Brock University,1201-1400,1300.5,12,,https://www.topuniversities.com/universities/brock-university,Humanities,2019,90.12,94.19,82.65,69.25,36.75,0.087959343,0.7984230909501397,20683.93,41152.23,589,7190892,TRUE,TRUE,TRUE
Brock University,1201-1400,1300.5,12,,https://www.topuniversities.com/universities/brock-university,Humanities,2020,93.59,93.26,84.4,77.10000000000001,55.60000000000001,0.096124745,0.9528460637986538,20617.51,42413.71,589,7855346.85,TRUE,TRUE,TRUE
Brock University,1201-1400,1300.5,12,,https://www.topuniversities.com/universities/brock-university,Humanities,2021,85.71,94.32,86.65,76.19999999999999,62.7,0.091523179,1.0456315765499018,21684.18,44874.63,589,13492011.94,TRUE,TRUE,TRUE
Brock University,1201-1400,1300.5,12,,https://www.topuniversities.com/universities/brock-university,"Kinesiology, Recreation & Phys. Educ.",2014,90.77,97.24,82,65.5,32.099999999999994,0.056766483,1.2041849706488357,20617.51,41152.23,589,4777028,TRUE,TRUE,TRUE
Brock University,1201-1400,1300.5,12,,https://www.topuniversities.com/universities/brock-university,"Kinesiology, Recreation & Phys. Educ.",2015,92.73,98.26,81.1,62.49999999999999,26.7,0.06046191,1.2881087849563937,20617.51,41152.23,589,5279593.67,TRUE,TRUE,TRUE
Brock University,1201-1400,1300.5,12,,https://www.topuniversities.com/universities/brock-university,"Kinesiology, Recreation & Phys. Educ.",2016,93.33,94.74,82.1,70.89999999999999,33.1,0.060055961,1.1518088640414843,18915.19,34631.44,589,5466770.38,TRUE,TRUE,TRUE
Brock University,1201-1400,1300.5,12,,https://www.topuniversities.com/universities/brock-university,"Kinesiology, Recreation & Phys. Educ.",2017,94.94,97.47,81,61.2,22,0.064087641,1.3282412234966978,19460,39349,589,6779653.62,TRUE,TRUE,TRUE
Brock University,1201-1400,1300.5,12,,https://www.topuniversities.com/universities/brock-university,"Kinesiology, Recreation & Phys. Educ.",2018,91.18,93.33,80.1,53.900000000000006,21.7,0.073537378,1.200206143063286,20617.51,41152.23,589,6170474,TRUE,TRUE,TRUE
Brock University,1201-1400,1300.5,12,,https://www.topuniversities.com/universities/brock-university,"Kinesiology, Recreation & Phys. Educ.",2019,92.59,97.27,79.6,48.8,19.1,0.087959343,1.4178959057955831,20683.93,41152.23,589,7190892,TRUE,TRUE,TRUE
Brock University,1201-1400,1300.5,12,,https://www.topuniversities.com/universities/brock-university,"Kinesiology, Recreation & Phys. Educ.",2020,84.8,95.31,84.3,77.3,49.400000000000006,0.096124745,1.410232746305263,20617.51,42413.71,589,7855346.85,TRUE,TRUE,TRUE
Brock University,1201-1400,1300.5,12,,https://www.topuniversities.com/universities/brock-university,"Kinesiology, Recreation & Phys. Educ.",2021,93.71,97.52,85.4,83.9,57.3,0.091523179,1.469209519762006,21684.18,44874.63,589,13492011.94,TRUE,TRUE,TRUE
Brock University,1201-1400,1300.5,12,,https://www.topuniversities.com/universities/brock-university,Mathematics,2014,100,75,84.85,0,0,0.056766483,0.8705882352941177,20071.965,40250.615000000005,589,4777028,TRUE,FALSE,TRUE
Brock University,1201-1400,1300.5,12,,https://www.topuniversities.com/universities/brock-university,Mathematics,2015,100,100,84.85,0,0,0.06046191,0.922077922,20071.965,40250.615000000005,589,5279593.67,TRUE,FALSE,TRUE
Brock University,1201-1400,1300.5,12,,https://www.topuniversities.com/universities/brock-university,Mathematics,2016,85.71,100,84.85,0,0,0.060055961,0.9027777777777778,18915.19,34631.44,589,5466770.38,TRUE,FALSE,TRUE
Brock University,1201-1400,1300.5,12,,https://www.topuniversities.com/universities/brock-university,Mathematics,2017,90.91,100,84.1,83.3,38.9,0.064087641,1.0490867579908676,19460,39349,589,6779653.62,TRUE,TRUE,TRUE
Brock University,1201-1400,1300.5,12,,https://www.topuniversities.com/universities/brock-university,Mathematics,2018,87.5,100,81.6,75,25,0.073537378,0.984126984,20071.965,40250.615000000005,589,6170474,TRUE,TRUE,TRUE
Brock University,1201-1400,1300.5,12,,https://www.topuniversities.com/universities/brock-university,Mathematics,2019,100,100,85.6,81.2,56.2,0.087959343,1,20683.93,41152.23,589,7190892,TRUE,TRUE,TRUE
Brock University,1201-1400,1300.5,12,,https://www.topuniversities.com/universities/brock-university,Mathematics,2021,84.62,100,89,100,90,0.091523179,1.0957446808510638,21684.18,44874.63,589,13492011.94,TRUE,TRUE,TRUE
Brock University,1201-1400,1300.5,12,,https://www.topuniversities.com/universities/brock-university,Nursing,2014,100,100,88,90,90,0.056766483,0.1056338028169014,20617.51,41152.23,589,4777028,TRUE,TRUE,TRUE
Brock University,1201-1400,1300.5,12,,https://www.topuniversities.com/universities/brock-university,Nursing,2015,92,100,88.2,93.9,93.9,0.06046191,0.1140684410646387,20617.51,41152.23,589,5279593.67,TRUE,TRUE,TRUE
Brock University,1201-1400,1300.5,12,,https://www.topuniversities.com/universities/brock-university,Nursing,2016,93.33,93.33,91,100.1,100.1,0.060055961,0.1386138613861386,18915.19,34631.44,589,5466770.38,TRUE,TRUE,TRUE
Brock University,1201-1400,1300.5,12,,https://www.topuniversities.com/universities/brock-university,Nursing,2017,97.06,100,91.1,100.1,100.1,0.064087641,0.1107491856677524,19460,39349,589,6779653.62,TRUE,TRUE,TRUE
Brock University,1201-1400,1300.5,12,,https://www.topuniversities.com/universities/brock-university,Nursing,2018,96.55,100,90.8,100,100,0.073537378,0.1089108910891089,20617.51,41152.23,589,6170474,TRUE,TRUE,TRUE
Brock University,1201-1400,1300.5,12,,https://www.topuniversities.com/universities/brock-university,Nursing,2019,97.22,100,91,100,100,0.087959343,0.065743945,20683.93,41152.23,589,7190892,TRUE,TRUE,TRUE
